G,AB,H,AVG,salary,allstar,birthYear,birthCountry,weight,height,bats,debutYear,ageDebut
180,238,23,0.096638655,518750,1,1991,USA,215,76,R,2013,22
204,517,95,0.183752418,415000,0,1985,USA,205,75,R,2007,22
330,298,55,0.184563758,3341200,0,1987,USA,175,71,R,2010,23
168,157,22,0.140127389,1517500,0,1987,USA,240,74,R,2010,23
882,3348,958,0.28614098,14632109,1,1982,USA,205,72,R,2004,22
920,3541,1067,0.301327309,691666.6667,1,1991,USA,195,75,L,2013,22
154,74,15,0.202702703,3045833.333,1,1979,USA,255,82,R,2004,25
1127,3446,802,0.232733604,5343750,1,1983,USA,200,74,R,2006,23
774,2762,769,0.278421434,3146166.667,0,1985,USA,240,75,R,2006,21
234,545,139,0.255045872,425250,0,1982,USA,209,70,B,2006,24
651,1725,422,0.244637681,955750,0,1985,USA,195,70,B,2009,24
25,58,11,0.189655172,414000,0,1982,USA,175,68,L,2011,29
754,2958,887,0.299864773,15390884.6,1,1976,USA,200,73,R,2000,24
137,199,47,0.236180905,18875000,1,1981,Other,275,76,B,2001,20
118,364,95,0.260989011,1700000,0,1971,USA,170,70,B,1995,24
277,334,56,0.167664671,8344166.667,0,1986,USA,225,74,R,2009,23
1244,4646,1290,0.277658201,10850000,1,1984,USA,215,75,R,2005,21
146,202,21,0.103960396,18900000,1,1978,USA,205,74,L,2000,22
1506,5402,1460,0.27027027,5114487.5,1,1981,USA,210,75,B,2006,25
