G,AB,H,AVG,salary,allstar,birthYear,birthCountry,weight,height,bats,debutYear,ageDebut
908,3207,782,0.243841597,509250,0,1987,USA,205,71,R,2013,26
1240,3826,1004,0.262415055,3095000,0,1980,USA,195,70,R,2006,26
793,2431,636,0.261620732,3514000,0,1984,Other,195,72,L,2007,23
77,161,28,0.173913043,510000,0,1990,USA,190,69,L,2013,23
183,350,66,0.188571429,581937.5,1,1988,USA,180,76,L,2014,26
831,2775,732,0.263783784,4578571.429,0,1979,USA,190,71,L,2003,24
228,495,120,0.242424242,470500,0,1987,Other,200,71,R,2011,24
307,323,42,0.13003096,9387500,0,1981,Other,215,73,L,2004,23
98,94,10,0.106382979,1116166.667,0,1989,Other,210,72,R,2011,22
26,94,28,0.29787234,1.20E+07,1,1972,Other,215,75,L,1993,21
272,87,14,0.16091954,657200,0,1990,Other,220,76,R,2011,21
161,213,24,0.112676056,12650000,1,1977,Other,215,74,R,1998,21
166,368,82,0.222826087,512972,0,1987,USA,210,74,L,2013,26
712,1956,529,0.270449898,1763000,0,1980,USA,195,72,R,2005,25
348,983,235,0.23906409,3810000,0,1975,USA,215,73,R,1998,23
1080,2519,593,0.235410877,1051666.667,0,1986,USA,190,70,L,2010,24
116,206,27,0.131067961,523750,0,1990,USA,200,73,R,2014,24
1478,5442,1432,0.263138552,4379142.857,1,1985,USA,217,75,R,2009,24
109,78,5,0.064102564,517300,0,1987,Other,200,72,R,2014,27
207,118,7,0.059322034,1778750,0,1986,USA,210,77,R,2007,21
309,751,191,0.254327563,425000,0,1985,USA,195,71,L,2008,23
250,749,187,0.249666222,510000,0,1990,Other,223,73,R,2015,25
386,972,265,0.272633745,2009375,0,1978,USA,215,72,R,2003,25
324,619,154,0.248788368,407500,0,1982,USA,230,76,L,2008,26
776,2716,776,0.285714286,511800,1,1989,USA,200,73,L,2013,24
293,262,43,0.164122137,7003571.429,1,1974,USA,215,75,R,2001,27
721,2130,524,0.24600939,512000,0,1989,USA,205,74,L,2013,24
589,1325,335,0.252830189,1300000,0,1978,USA,205,73,L,2004,26
362,1272,294,0.231132075,500950,0,1989,USA,220,74,R,2011,22
1038,3841,1048,0.272845613,3484500,1,1985,USA,210,73,R,2010,25
645,2030,522,0.257142857,3500000,0,1981,USA,220,73,B,2005,24
254,527,121,0.229601518,454250,0,1984,USA,190,73,R,2009,25
1137,4301,1053,0.244826784,1509375,1,1987,USA,200,71,R,2012,25
907,3040,736,0.242105263,5612500,0,1983,USA,220,72,L,2006,23
435,1457,365,0.250514756,508900,0,1992,USA,230,74,R,2015,23
958,3098,741,0.239186572,2332176.333,0,1986,USA,255,76,L,2010,24
19,32,4,0.125,4.00E+05,0,1980,USA,185,70,L,2005,25
452,1616,456,0.282178218,509600,0,1991,USA,190,74,R,2014,23
107,364,91,0.25,415500,0,1984,USA,225,74,R,2007,23
475,133,23,0.172932331,3007142.857,0,1983,USA,210,74,L,2005,22
87,260,59,0.226923077,825000,0,1981,USA,210,77,L,2005,24
870,3012,676,0.224435591,12666666.67,1,1979,USA,285,78,L,2001,22
541,1780,414,0.23258427,510000,1,1988,USA,215,73,R,2014,26
858,2317,573,0.247302546,880000,0,1984,USA,165,69,L,2010,26
790,3026,863,0.285194977,1150500,0,1988,USA,176,69,L,2012,24
252,945,249,0.263492063,925000,1,1975,USA,170,66,R,2001,26
86,246,68,0.276422764,850000,1,1970,USA,190,73,L,1993,23
80,121,15,0.123966942,516000,0,1990,USA,246,76,R,2015,25
668,1945,466,0.239588689,2535166.667,0,1981,USA,225,74,R,2008,27
670,2319,601,0.259163433,4916666.667,0,1977,USA,190,70,R,2002,25
14,37,6,0.162162162,414000,0,1986,USA,205,72,R,2011,25
1445,5256,1374,0.261415525,6325000,1,1983,Other,230,73,R,2005,22
33,45,10,0.222222222,418000,0,1986,USA,220,75,R,2010,24
180,151,12,0.079470199,2479750,0,1990,USA,217,74,R,2011,21
107,72,8,0.111111111,504500,0,1990,USA,200,71,R,2013,23
107,134,26,0.194029851,1750000,1,1974,USA,195,74,L,1996,22
1428,5303,1365,0.257401471,2229000,1,1986,Other,205,73,R,2008,22
928,3156,819,0.259505703,833000,0,1989,Other,185,70,B,2011,22
1204,4482,1249,0.278670237,3845000,0,1982,Other,215,74,R,2007,25
872,2910,644,0.221305842,1110471.667,0,1987,USA,205,72,B,2010,23
272,135,19,0.140740741,4233200,0,1983,Other,180,72,R,2008,25
1035,3432,958,0.279137529,11787500,1,1982,USA,210,74,L,2006,24
163,406,78,0.192118227,491000,0,1987,USA,215,70,R,2011,24
242,92,10,0.108695652,6219960,0,1983,USA,225,78,L,2005,22
295,989,243,0.24570273,4750000,0,1975,Other,210,73,R,2000,25
77,136,29,0.213235294,1362000,1,1992,Other,240,75,R,2013,21
1098,4032,1147,0.284474206,18937500,1,1984,USA,275,71,L,2005,21
206,86,7,0.081395349,511533.3333,0,1985,USA,211,74,R,2011,26
18,27,3,0.111111111,492500,0,1986,USA,225,75,R,2012,26
504,1731,436,0.251877527,8318750,0,1978,USA,180,68,B,2002,24
48,77,16,0.207792208,550000,0,1987,USA,185,70,L,2014,27
55,48,9,0.1875,9.00E+05,0,1974,USA,185,73,B,2000,26
70,69,6,0.086956522,511500,0,1993,USA,198,71,L,2014,21
247,105,16,0.152380952,4421500,0,1984,USA,210,80,L,2009,25
547,1324,284,0.214501511,812200,0,1986,USA,205,75,L,2012,26
142,456,105,0.230263158,660166.6667,0,1984,Other,210,73,R,2007,23
119,289,59,0.204152249,508800,0,1992,Other,190,70,L,2015,23
670,2131,572,0.268418583,519778.5,0,1991,Other,213,74,R,2013,22
321,788,166,0.210659898,511166.6667,0,1986,Other,185,74,B,2011,25
780,2387,567,0.237536657,1323600,0,1986,USA,260,76,R,2009,23
170,30,3,0.1,4250000,0,1983,USA,245,76,R,2004,21
137,199,14,0.070351759,508750,1,1991,USA,195,76,R,2014,23
370,934,235,0.251605996,826666.6667,0,1980,USA,165,69,L,2005,25
958,3086,758,0.245625405,968020,0,1987,USA,195,73,R,2011,24
1409,4904,1276,0.260195759,4022625,0,1986,USA,205,77,B,2008,22
186,475,114,0.24,414500,0,1982,USA,220,72,R,2007,25
417,1070,264,0.246728972,900975,0,1981,USA,195,73,R,2007,26
124,71,5,0.070422535,3250000,0,1981,Other,220,77,L,2004,23
932,3111,796,0.255866281,3760714.286,0,1984,USA,225,76,R,2005,21
404,996,235,0.235943775,447562.5,0,1987,Other,245,74,L,2009,22
656,2338,583,0.249358426,517500,0,1992,Other,225,73,R,2014,22
363,888,231,0.260135135,875000,0,1982,USA,190,72,R,2006,24
301,833,178,0.213685474,766000,0,1991,USA,190,73,B,2013,22
1186,4200,1019,0.242619048,3469375,1,1986,USA,220,75,R,2011,25
41,88,17,0.193181818,4.00E+06,0,1976,USA,185,70,R,2001,25
1346,4953,1451,0.292953765,4582229.167,1,1989,USA,220,77,L,2010,21
1184,3758,1041,0.277009047,2418625,1,1983,USA,213,74,R,2009,26
125,70,5,0.071428571,512500,0,1987,USA,222,76,R,2012,25
159,327,76,0.232415902,575000,0,1985,USA,215,74,R,2011,26
100,210,50,0.238095238,508450,0,1991,USA,160,72,L,2013,22
446,1428,369,0.258403361,10375000,1,1977,Other,200,72,L,2008,31
585,1348,308,0.228486647,1017950,0,1981,USA,180,69,L,2007,26
464,1841,489,0.265616513,8.00E+06,1,1977,Other,195,68,B,2000,23
67,29,0,0,1367500,0,1982,Other,230,75,R,2007,25
302,378,75,0.198412698,6511597,0,1986,Other,205,74,R,2007,21
951,3424,849,0.247955607,796700,0,1989,Other,195,70,B,2012,23
104,238,54,0.226890756,443750,0,1985,USA,220,73,L,2008,23
119,44,2,0.045454545,507500,0,1992,USA,200,76,R,2016,24
244,896,239,0.266741071,508750,0,1985,Other,205,69,R,2015,30
543,1036,257,0.248069498,507500,0,1989,USA,200,72,L,2014,25
212,308,45,0.146103896,4873375,0,1986,Other,215,74,L,2008,22
133,387,98,0.253229974,498050,0,1981,USA,225,74,R,2005,24
89,156,21,0.134615385,3973005.75,1,1979,USA,210,78,R,2000,21
234,268,22,0.082089552,8336590.5,0,1983,USA,220,76,R,2006,23
44,30,8,0.266666667,8.00E+05,0,1981,USA,175,70,L,2004,23
706,2443,605,0.247646336,1448916.667,0,1986,USA,270,76,R,2013,27
159,61,2,0.032786885,737500,0,1983,USA,190,70,R,2003,20
192,56,2,0.035714286,518833.3333,0,1991,USA,190,74,L,2013,22
165,194,21,0.108247423,2390875,0,1986,USA,205,73,R,2010,24
793,2704,773,0.285872781,512866.6667,1,1990,USA,185,70,L,2013,23
154,345,77,0.223188406,1887500,0,1977,USA,190,72,L,2003,26
410,935,198,0.211764706,1700000,1,1971,USA,240,75,L,1995,24
61,130,35,0.269230769,650000,0,1977,USA,195,72,L,2001,24
61,225,43,0.191111111,9.00E+06,1,1971,USA,195,71,L,1995,24
505,1419,356,0.250880902,517500,0,1987,USA,195,73,L,2008,21
391,927,202,0.217907228,742500,0,1982,USA,230,74,R,2009,27
35,86,19,0.220930233,459000,0,1982,Other,230,70,B,2006,24
142,441,104,0.235827664,6943500,1,1976,USA,220,77,R,1998,22
312,471,125,0.265392781,1500000,0,1976,USA,190,73,L,2000,24
92,213,41,0.192488263,507500,0,1992,USA,180,76,R,2016,24
1253,4572,1337,0.292432196,2203066.6,1,1987,USA,220,75,R,2011,24
788,2192,538,0.245437956,2925000,0,1980,USA,230,73,R,2003,23
749,2548,623,0.244505495,1377777.667,1,1987,Other,215,74,R,2012,25
1250,4022,1011,0.251367479,4162500,1,1985,Other,220,75,R,2007,22
83,153,28,0.183006536,493750,0,1988,Other,195,75,R,2011,23
1391,5115,1479,0.28914956,15233910.63,1,1982,USA,215,74,L,2004,22
492,1774,424,0.239007892,2779166.667,1,1977,Other,210,73,R,1998,21
369,835,200,0.239520958,541375,0,1983,Other,195,70,R,2007,24
1292,4731,1359,0.28725428,8445754.857,1,1985,Other,220,73,L,2008,23
82,153,33,0.215686275,407300,0,1978,USA,182,72,R,2008,30
322,410,37,0.090243902,6017857.143,1,1985,USA,205,72,R,2008,23
909,2891,762,0.263576617,908280,0,1989,Other,205,73,B,2012,23
969,3772,1085,0.287645811,1685550.5,1,1988,USA,166,71,L,2011,23
100,67,15,0.223880597,508500,0,1991,USA,160,67,R,2014,23
247,106,13,0.122641509,2100000,0,1982,USA,218,75,R,2005,23
137,420,80,0.19047619,508250,0,1983,USA,185,71,R,2013,30
320,597,157,0.262981575,510700,0,1988,USA,188,73,R,2013,25
1543,5288,1255,0.237329803,10906250,1,1981,USA,200,73,L,2004,23
879,2793,673,0.240959542,1318750,1,1988,Other,230,74,B,2012,24
116,195,17,0.087179487,509500,0,1991,USA,225,76,R,2015,24
189,58,8,0.137931034,514166.6667,0,1989,USA,195,70,R,2013,24
129,330,82,0.248484848,502250,0,1987,USA,180,75,R,2013,26
77,170,34,0.2,6500000,0,1979,USA,210,71,R,2003,24
143,375,85,0.226666667,550000,0,1978,USA,190,71,R,2004,26
288,675,151,0.223703704,449250,0,1983,USA,200,74,R,2009,26
851,3096,816,0.263565891,994100,0,1990,Other,205,75,L,2012,22
355,507,114,0.224852071,17724878.75,1,1983,USA,200,74,R,2004,21
679,2301,561,0.24380704,515000,0,1991,USA,216,74,R,2014,23
117,232,52,0.224137931,6.00E+06,0,1986,Other,220,73,R,2014,28
229,805,203,0.252173913,1.20E+07,0,1976,Other,165,71,R,1997,21
237,48,5,0.104166667,5657142.857,0,1979,USA,205,73,R,2004,25
670,2225,570,0.256179775,3617500,0,1983,Other,200,74,R,2005,22
239,896,248,0.276785714,8.00E+06,1,1978,Other,180,72,B,1999,21
403,1007,249,0.247269116,763266.6667,0,1984,Other,200,73,R,2009,25
555,1358,321,0.236377025,711200,0,1982,USA,190,72,L,2006,24
804,2576,630,0.244565217,2170300,0,1988,USA,205,70,R,2013,25
43,84,19,0.226190476,480000,0,1985,USA,225,75,R,2012,27
60,26,2,0.076923077,507500,0,1989,USA,210,77,R,2014,25
544,1592,400,0.251256281,2425000,0,1976,USA,195,70,R,1998,22
579,1468,352,0.239782016,1816666.667,0,1980,USA,200,72,R,2004,24
90,44,3,0.068181818,502500,0,1987,USA,210,74,R,2013,26
135,238,31,0.130252101,1.80E+07,1,1977,USA,225,78,R,1998,21
299,872,193,0.221330275,6150000,0,1979,USA,210,72,R,2002,23
340,504,85,0.168650794,15562500,1,1983,USA,205,76,L,2006,23
809,2807,680,0.242251514,538333.3333,0,1990,USA,155,72,B,2013,23
311,343,51,0.148688047,5771428.571,0,1982,USA,225,78,R,2006,24
31,37,12,0.324324324,2.00E+06,1,1972,USA,185,70,R,1993,21
373,72,5,0.069444444,510000,1,1990,USA,215,75,L,2011,21
644,1864,466,0.25,1870625,0,1980,USA,225,72,R,2007,27
427,1061,246,0.231856739,810300,0,1980,USA,210,74,L,2006,26
123,187,11,0.058823529,1287875,0,1986,USA,220,78,R,2009,23
312,189,20,0.105820106,3662375,1,1982,USA,205,77,L,2007,25
195,316,36,0.113924051,6666666.667,0,1978,USA,260,79,R,2002,24
62,44,8,0.181818182,5.00E+06,0,1981,Other,190,73,L,2003,22
1105,4144,1040,0.250965251,7642844.625,1,1982,USA,200,73,R,2005,23
236,285,63,0.221052632,10607142.86,1,1980,USA,215,77,R,2003,23
1084,3879,1071,0.276102088,2912500,1,1992,USA,210,75,L,2012,20
105,74,10,0.135135135,491350,0,1985,USA,205,74,B,2010,25
878,2924,797,0.272571819,1960000,1,1987,USA,190,68,R,2011,24
420,831,181,0.217809868,1150000,0,1978,USA,195,69,L,2001,23
642,2317,618,0.266724212,5452777.667,1,1982,USA,240,78,R,2004,22
18,25,4,0.16,417000,0,1982,USA,215,76,R,2007,25
146,250,27,0.108,1812625,1,1989,USA,220,76,R,2012,23
327,1021,266,0.260528893,5.00E+06,1,1979,USA,190,74,L,2004,25
189,434,89,0.205069124,531000,0,1984,USA,210,73,R,2009,25
155,252,65,0.257936508,507500,0,1987,USA,190,75,L,2016,29
1337,4739,1244,0.262502638,6467400,0,1984,USA,215,74,B,2007,23
79,21,2,0.095238095,515000,0,1991,USA,200,74,L,2014,23
895,3012,763,0.253320053,2375000,0,1989,Other,195,72,R,2012,23
50,52,2,0.038461538,500625,0,1986,USA,205,76,R,2012,26
697,1594,380,0.238393977,1234833.333,0,1984,USA,220,73,R,2010,26
234,175,25,0.142857143,2537180,0,1987,USA,190,73,R,2010,23
309,578,135,0.233564014,966666.6667,0,1976,USA,230,76,R,1998,22
586,2000,562,0.281,13380000,1,1973,USA,220,74,L,1997,24
167,306,31,0.10130719,525500,0,1989,USA,190,75,R,2014,25
245,733,176,0.240109141,2131666.667,0,1984,USA,220,75,L,2005,21
177,475,116,0.244210526,4.00E+05,0,1982,Other,190,69,B,2005,23
832,2915,807,0.276843911,511666.6667,0,1990,Other,195,70,B,2013,23
